FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS_x,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_y,Zip,Num_Empl,State,mactID
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2016,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,833,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2016,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,833,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2016,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,834,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2016,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,834,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2018,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,146.9654572389306,gallons,20.28123309897242,0.002315209257873564,835,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2018,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,146.9654572389306,gallons,20.28123309897242,0.002315209257873564,835,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2018,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,146.9654572389306,gallons,20.28123309897242,0.002315209257873564,836,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2018,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,146.9654572389306,gallons,20.28123309897242,0.002315209257873564,836,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2014,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,832.8042576872732,gallons,114.9269875608437,0.0131195191279502,837,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2014,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,832.8042576872732,gallons,114.9269875608437,0.0131195191279502,837,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
