,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS,Zip,Num_Empl,FIPS
1375,KSBoeing-Wichita,4,5,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1376,KSBoeing-Wichita,5,2,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1377,KSSpiritAero,1-308C-BLR1,1,14.0,5448.0,Gas 1,350,336,67210,>1000,20173
1378,KSSpiritAero,1-308C-BLR2,1,21.0,5808.0,Gas 1,350,336,67210,>1000,20173
1379,KSSpiritAero,190 Boilers 52 & 53,2,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1380,KSSpiritAero,200 Boilers 45 & 46,2,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1381,KSSpiritAero,2-260H-BLR6,1,72.0,3650.0,Gas 1,350,336,67210,>1000,20173
1382,KSSpiritAero,2-260H-BLR7,1,72.0,3650.0,Gas 1,350,336,67210,>1000,20173
1383,KSSpiritAero,2-260H-BLR8,1,72.0,3650.0,Gas 1,350,336,67210,>1000,20173
1384,KSSpiritAero,2-260H-BLR9,1,72.0,3650.0,Gas 1,350,336,67210,>1000,20173
1385,KSSpiritAero,3-190O-BLR1,1,10.5,5808.0,Gas 1,350,336,67210,>1000,20173
1386,KSSpiritAero,3-191M-BLR1,1,14.7,8760.0,Gas 1,350,336,67210,>1000,20173
1387,KSSpiritAero,3-191M-BLR2,1,12.6,6180.0,Gas 1,350,336,67210,>1000,20173
1388,KSSpiritAero,3-193K-BLR1,1,12.6,5448.0,Gas 1,350,336,67210,>1000,20173
1389,KSSpiritAero,3-215W-BLR1,1,10.208,5808.0,Gas 1,350,336,67210,>1000,20173
1390,KSSpiritAero,3-215W-BLR2,1,10.208,5448.0,Gas 1,350,336,67210,>1000,20173
1391,KSSpiritAero,3-224R-BLR1,1,12.6,2904.0,Gas 1,350,336,67210,>1000,20173
1392,KSSpiritAero,3-224R-BLR3,1,21.0,8760.0,Gas 1,350,336,67210,>1000,20173
1393,KSSpiritAero,3-224R-BLR4,1,21.0,8760.0,Gas 1,350,336,67210,>1000,20173
1394,KSSpiritAero,3-225N-BLR1,1,12.6,5808.0,Gas 1,350,336,67210,>1000,20173
1395,KSSpiritAero,3-225N-BLR2,1,25.2,6180.0,Gas 1,350,336,67210,>1000,20173
1396,KSSpiritAero,3-230J-BLR1,1,13.44,5448.0,Gas 1,350,336,67210,>1000,20173
1397,KSSpiritAero,3-238L-BLR1,1,12.554,4380.0,Gas 1,350,336,67210,>1000,20173
1398,KSSpiritAero,3-238L-BLR2,1,25.105999999999998,4380.0,Gas 1,350,336,67210,>1000,20173
1399,KSSpiritAero,"Boilers 34, 43, 44, and 51",4,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1400,KSSpiritAero,"IPB boilers 41, 42, 64 & 65",4,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1401,KSSpiritAero,"Nacelle Blrs 50, 56, & 57",3,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1402,KSSpiritAero,"Other boilers:  24, 33, 49, 63",4,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1403,KSSpiritAero,Process Material building boilers 37 & 38,2,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1404,KSBungeEmporia,EU-13 (Murray),1,65.0,2400.0,Gas 1,350,311,66801,50-99,20111
1406,KSBungeEmporia,EU-14 (Cleaver-Brooks),1,92.264,8760.0,Gas 1,350,311,66801,50-99,20111
1408,KSCessnaAircraftCoMidContinent,1175,1,21.0,4000.0,Gas 1,350,336,67215,>1000,20173
1409,KSCessnaAircraftCoMidContinent,1176,1,21.0,4000.0,Gas 1,350,336,67215,>1000,20173
1410,KSCessnaAircraftCoMidContinent,1178,1,20.9,8000.0,Gas 1,350,336,67215,>1000,20173
1411,KSCessnaAircraftCoMidContinent,1180,1,59.5,8000.0,Gas 1,350,336,67215,>1000,20173
1412,KSCessnaAircraftCoMidContinent,22073,1,16.74,8000.0,Gas 1,350,336,67215,>1000,20173
1413,KSCessnaAircraftCoMidContinent,26298,1,16.74,8000.0,Gas 1,350,336,67215,>1000,20173
1414,KSCessnaAircraftCoMidContinent,Small Boilers 1,30,5.0,8400.0,Gas 1,350,336,67215,>1000,20173
1415,KSCessnaAircraftCoMidContinent,Small Boilers 2,4,5.0,8400.0,Gas 1,350,336,67215,>1000,20173
1416,KSCessnaAircraftCoMidContinent,Small Boilers 3,4,5.0,8400.0,Gas 1,350,336,67215,>1000,20173
1417,KSCessnaAircraftCoMidContinent,Small Boilers 4,1,5.0,8400.0,Gas 1,350,336,67215,>1000,20173
1418,KSOxyChem,Boiler #1,1,197.6,8712.0,Gas 1,350,325,67215,100-499,20173
1419,KSOxyChem,Boiler #2,1,197.6,8712.0,Gas 1,350,325,67215,100-499,20173
1420,KSOxyChem,Boiler #3,1,123.5,7920.0,Gas 1,350,325,67215,100-499,20173
1421,KSOxyChem,Cogen,1,116.0312,8400.0,Gas 1,350,325,67215,100-499,20173
1422,KSCessnaAircraftCoPawnee,1000,1,54.0,4000.0,Gas 1,350,336,67218,>1000,20173
1423,KSCessnaAircraftCoPawnee,1162,1,25.2,8000.0,Gas 1,350,336,67218,>1000,20173
1424,KSCessnaAircraftCoPawnee,1163,1,25.2,8000.0,Gas 1,350,336,67218,>1000,20173
1425,KSCessnaAircraftCoPawnee,Small Boilers 1,24,5.0,8400.0,Gas 1,350,336,67218,>1000,20173
1426,KSCessnaAircraftCoPawnee,Small Boilers 2,2,5.0,8400.0,Gas 1,350,336,67218,>1000,20173
1427,KSCessnaAircraftCoPawnee,Small Boilers 3,5,5.0,8400.0,Gas 1,350,336,67218,>1000,20173
1428,MNBoisePaper1212,EU 420 Boiler #1,1,398.0,8540.0,Gas 1,350,322,56649,500-999,27071
1429,MNBoisePaper1212,EU 430 Boiler #2,1,395.0,8350.0,Wet Biomass,400,322,56649,500-999,27071
1430,MNBoisePaper1212,EU 440 Boiler #3,1,373.0,5700.0,Gas 1,350,322,56649,500-999,27071
1431,MNBoisePaper1212,EU 460 Boiler #9,1,205.0,4000.0,Gas 1,350,322,56649,500-999,27071
1432,MNBoisePaper1212,Insig. Seasonal Comfort Heat Nat. Gas Boilers,2,5.0,8400.0,Gas 1,350,322,56649,500-999,27071
1433,MNCHSFairmont,EU032,1,99.0,8300.0,Gas 1,350,311,56031,50-99,27091
1434,MNCHSFairmont,EU033,1,99.0,8300.0,Gas 1,350,311,56031,50-99,27091
1435,MNCrystalCabinetWorks,B1,1,5.0,8400.0,Gas 1,350,337,55371,100-499,27059
1439,MNFordTwinCities1221,Boiler #1,1,105.0,2880.0,Gas 1,350,336,55116,>1000,27123
1440,MNFordTwinCities1221,Boiler #3,1,85.0,8760.0,Gas 1,350,336,55116,>1000,27123
1441,MNFordTwinCities1221,Carbon Wheel Boiler (desorb),1,16.74,2500.0,Gas 1,350,336,55116,>1000,27123
