FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
"General Dynamics – Armament and Technical Products, Inc",24354,332311,,2013,Cleaver Brook 18,Natural gas/distillate oil,,,50.2,MMBtu/hr,
"General Dynamics – Armament and Technical Products, Inc",24354,332311,,2013,Cleaver Brook 19,Natural gas/distillate oil,,,12.5,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-1,Wood/coal,,,21.776,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-2,Wood/coal,,,19.16,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-3,Wood/coal,,,27,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-4,Wood/coal,,,28,MMBtu/hr,
"Yokohama Tire Manufacturing Virginia, LLC",24153,326211,,2015,FB-B3,Natural gas/No.2 fuel oil,,,55.1,MMBtu/hr,
"Yokohama Tire Manufacturing Virginia, LLC",24153,326211,,2015,FB-B4,Natural gas/No.2 fuel oil,,,79.4,MMBtu/hr,
RADVA Corporation,24141,326140,,2014,B3.1,Natural gas/pentane,,,10.043,MMBtu/hr,
RADVA Corporation,24141,326140,,2014,B1,Natural gas,,,8.375,MMBtu/hr,
RADVA Corporation,24141,326140,,2014,B2,Natural gas,,,7,MMBtu/hr,
Volvo Trucks North America,24084,336120,,2010,14FBE-001,Natural gas,,,6.3,MMBtu/hr,
Dynax America Corporation,24019,336350,,2014,B1,Natural gas,,,4.2,MMBtu/hr,
"James Hardie Building Products, Inc",24301,327390,,2015,B1,Natural gas,,,33.5,MMBtu/hr,
"James Hardie Building Products, Inc",24301,327390,,2015,B2,Natural gas,,,33.5,MMBtu/hr,
"James Hardie Building Products, Inc",24301,327390,,2015,B3,Natural gas,,,33.5,MMBtu/hr,
Babcock & Wilcox Nuclear Operations Group Inc.,24505,332410,,2013,EU-BA-1,Natural gas,,,0.67,MMBtu/hr,
Babcock & Wilcox Nuclear Operations Group Inc.,24505,332410,,2013,EU-BB-6,Natural gas/distillate oil,,,1.5,MMBtu/hr,
Babcock & Wilcox Nuclear Operations Group Inc.,24505,332410,,2013,EU-U-6,Natural gas/distillate oil,,,0.775,MMBtu/hr,
"MW Manufacturers, Inc.",24151,321911,,2014,CNB Tri-Fuel boiler,Coal,,,21.32,MMBtu/hr,
Southern Finishing Company,24112,337122,,2014,EP-1,Wood/No.2 fuel oil,,,9,MMBtu/hr,
Southern Finishing Company,24112,337122,,2014,EP-2,Wood/No.2 fuel oil,,,9,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR01,Natural gas/Residual oil,,,224.6,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR02,Natural gas/Residual oil,,,224.6,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR03,Natural gas/DIstillate oil,,,100,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR05,Natural gas/Wood residuals/Paper recycling residues,,,292,MMBtu/hr,
Owens-Brockway Glass Container Inc.,24586,327213,,2012,B-1,Natural gas/liquefied petroleum gas,,,14.6,MMBtu/hr,
Owens-Brockway Glass Container Inc.,24586,327213,,2012,B-2,Natural gas,,,2.4,MMBtu/hr,
Intertape Polymer Corporation,24540,326113,,2016,15-FS,Natural gas,,,8.16,MMBtu/hr,
"Huber Engineered Woods, LLC",24539,321219,,2016,BL boiler,Natural gas,,,1.26,MMBtu/hr,
"ArborTech Forest Products, Inc.",23824,321113,,2016,B1-1,Wood,,,28.7,MMBtu/hr,
"ArborTech Forest Products, Inc.",23824,321113,,2016,B2-1,Wood,,,28.7,MMBtu/hr,
"ArborTech Forest Products, Inc.",23824,321113,,2016,B3-1,Distillate oil,,,9.9,MMBtu/hr,
"Smurfit-Stone Container Enterprises, Inc",23181,322130,,2008,PH08,Coal/No.6 fuel oil,,,553,MMBtu/hr,
"Smurfit-Stone Container Enterprises, Inc",23181,322130,,2008,PH10,Wood waste/bark/WWTP sludge,,,659,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,PB1,No.6 fuel oil,,,14.7,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,PB2,No.6 fuel oil,,,6.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,PB3,No.6 fuel oil,,,14.7,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB1,No.6 fuel oil,,,29.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB2,No.6 fuel oil,,,29.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB3,No.6 fuel oil,,,29.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB4,No.6 fuel oil,,,29.3,MMBtu/hr,
"Cellofoam North America, Inc",22405,326140,,2013,B1,Natural gas,,,9,MMBtu/hr,
"Cellofoam North America, Inc",22405,326140,,2013,B2,Natural gas,,,6,MMBtu/hr,
Kaiser Aluminum Fabricated Products LLC,23237,331316,,2012,,Natural gas,,,2.5,MMBtu/hr,
Reynolds Consumer Products Inc.,23237,323111,,2012,19,Natural gas,,,26,MMBtu/hr,
Reynolds Consumer Products Inc.,23237,323111,,2012,20,Natural gas,,,13.3,MMBtu/hr,
Reynolds Consumer Products Inc.,23237,323111,,2012,21,Natural gas,,,20.3,MMBtu/hr,
Ball Metal Beverage Container Corporation,23185,332431,,2015,B1-1,,,,4.3,MMBtu/hr,
Ball Metal Beverage Container Corporation,23185,332431,,2015,,,,,9.99,MMBtu/hr,
Metro Machine Corporation,23523,336611,,2014,Boiler 1,Natural gas/No.2 fuel oil,95000000,ft3 natural gas,32,MMBtu/hr,
Metro Machine Corporation,23523,336611,,2014,Boiler 2,Natural gas/No.2 fuel oil,167000000,ft3 natural gas,20.9,MMBtu/hr,
"Anheuser-Busch, LLC",23185,312123,,2017,EU1,Natural gas/no.6 fuel oil,,,100,MMBtu/hr,
"Anheuser-Busch, LLC",23185,312123,,2017,EU2,Natural gas/no.6 fuel oil,,,100,MMBtu/hr,
"Anheuser-Busch, LLC",23185,312123,,2017,EU3,Natural gas/no.6 fuel oil,,,100,MMBtu/hr,
"Anheuser-Busch, LLC",23185,312123,,2017,EU4,Natural gas/biogas/no.6 fuel oil,,,98,MMBtu/hr,
"Anheuser-Busch, LLC",23185,312123,,2017,EU5,Natural gas/biogas/no.6 fuel oil,,,98,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,FTSF-S1,No.6 fuel oil,,,213.26,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,FTSF-S2,No.6 fuel oil,,,213.26,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,78-E1,No.6 fuel oil,,,136.2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,78-E2,No.6 fuel oil,,,136.2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,78-E3,No.6 fuel oil,,,136.2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,78-E4,Natural gas/propane,,,99.4,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,78-E5,Natural gas/propane,,,145,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,78-E6,Natural gas/propane,,,145,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,1744-S4,Natural gas,,,2.343,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,1744-S5,Natural gas,,,2.343,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,521-E1,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,521-E2,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,521-E3,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,521-E4,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,521-E5,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,1877-S1,Natural gas,,,3,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,1796-S1,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,4678-S1,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,4678-S2,Natural gas,,,2,MMBtu/hr,
Huntington Ingalls Incorporated,23607,336611,,2015,4678-S3,Natural gas,,,2,MMBtu/hr,
Franklin Particleboard Plant,23851,321219,,2014,1P-A,No.2 fuel oil,,,53,MMBtu/hr,
Solenis LLC,23837,325998,,2015,EP-B1,Natural gas,,,32.659,MMBtu/hr,
Solenis LLC,23837,325998,,2015,EP-B2,Natural gas,,,32.659,MMBtu/hr,
"MICA Company of Canada, Incorporated",23607,327999,,2011,B2,Natural gas/No.2 distillate oil,,,3.313,MMBtu/hr,
International Paper - Franklin Mill,23851,322110,,2015,PW05,Natural gas,,,893,MMBtu/hr,
United States Gypsum Company,23523,327420,,2014,S105,Natural gas,,,2.6,MMBtu/hr,
BAE Systems Norfolk Ship Repair Inc,23523,336611,,2014,003,Residual No.6 oil,,,32,MMBtu/hr,
BAE Systems Norfolk Ship Repair Inc,23523,336611,,2014,007-A,No.1 fuel oil/No.2 fuel oil,,,20,MMBtu/hr,
BAE Systems Norfolk Ship Repair Inc,23523,336611,,2014,007-B,Natural gas,,,31.5,MMBtu/hr,
BAE Systems Norfolk Ship Repair Inc,23523,336611,,2014,009-A,No.1 fuel oil/No.2 fuel oil,,,31.5,MMBtu/hr,
BAE Systems Norfolk Ship Repair Inc,23523,336611,,2014,009-B,Natural gas,,,33.4,MMBtu/hr,
BAE Systems Norfolk Ship Repair Inc,23523,336611,,2014,010-A,No.1 fuel oil/No.2 fuel oil,,,33.4,MMBtu/hr,
"Smithfield Packing Company, Inc.",23430,311611,,2013,S40,Natural gas,,,32.659,MMBtu/hr,
"Smithfield Packing Company, Inc.",23430,311611,,2013,S41,Natural gas,,,32.659,MMBtu/hr,
"Smithfield Packing Company, Inc.",23430,311611,,2013,S52,Natural gas,,,34.8,MMBtu/hr,
"Smithfield Packing Company, Inc.",23430,311611,,2013,S53,Natural gas,,,34.8,MMBtu/hr,
"Smithfield Packing Company, Inc.",23430,311611,,2013,S54,Natural gas,,,29.3,MMBtu/hr,
"Smithfield Packing Company, Inc.",23430,311611,,2013,S51,Natural gas,,,25.9,MMBtu/hr,
"Smithfield Packing Company, Inc.",23430,311611,,2013,S86,Natural gas,,,6.3,MMBtu/hr,
"Perdue Grain and Oilseed, LLC",23324,311224,,2017,B1,Natural gas,,,27.01,MMBtu/hr,
"Perdue Grain and Oilseed, LLC",23324,311224,,2017,B2,Natural gas,,,27.01,MMBtu/hr,
"Perdue Grain and Oilseed, LLC",23324,311224,,2017,B3,Natural gas,,,27.01,MMBtu/hr,
"Perdue Grain and Oilseed, LLC",23324,311224,,2017,B4,Natural gas,,,27.01,MMBtu/hr,
"Perdue Grain and Oilseed, LLC",23324,311224,,2017,STB-1,Natural gas/diesel fuel,,,98,MMBtu/hr,
"Perdue Grain and Oilseed, LLC",23324,311224,,2017,STB-2,Natural gas/diesel fuel,,,98,MMBtu/hr,
Owens-Brockway Glass Container Inc.,23168,327213,,2015,,Natural gas,,,0.344,MMBtu/hr,
STIHL Incorporated,23452,333991,,2014,,Natural gas,,,5.055,MMBtu/hr,
STIHL Incorporated,23452,333991,,2014,,Natural gas,,,0.33,MMBtu/hr,
STIHL Incorporated,23452,333991,,2014,,Natural gas,,,0.33,MMBtu/hr,
"Kinyo Virginia, Incorporated",23603,326299,,2014,FBS-1,Natural gas,,,7.88,MMBtu/hr,
"Kinyo Virginia, Incorporated",23603,326299,,2014,FBS-2,Natural gas,,,7.88,MMBtu/hr,
"Kinyo Virginia, Incorporated",23603,326299,,2014,FBS-3,Natural gas,,,7.88,MMBtu/hr,
"Lyon Shipyard, Inc",23504,336611,,2012,BS-1,Distillate oil,,,3.45,MMBtu/hr,
"Lyon Shipyard, Inc",23504,336611,,2012,BS-2,Distillate oil,,,3.45,MMBtu/hr,
"ST Tissue, LLC",23218,322121,,2014,BSV01,Natural gas,,,100,MMBtu/hr,
Perdue Foods LLC,23301,311615,,2014,EP1,No.6 fuel oil,,,29,MMBtu/hr,
Perdue Foods LLC,23301,311615,,2014,EP2,No.6 fuel oil,,,29,MMBtu/hr,
Glen-Gery Capitol Plant,20103,327121,,2010,,Natural gas,,,1.68,MMBtu/hr,
"Mundet-Hermetite, Inc.",24416,323111,,2014,H2,Natural gas,,,2.5,MMBtu/hr,
"Valley Proteins, Inc. - Winchester",22603,311613,,2014,B-1,No.6 fuel oil,,,23.4,MMBtu/hr,
"Valley Proteins, Inc. - Winchester",22603,311613,,2014,B-2,No.6 fuel oil,,,23.4,MMBtu/hr,
Valley Proteins,22604,311613,,2015,B1E-1,Residual oil/animal fat/vegetable oil,,,29.291,MMBtu/hr,
Valley Proteins,22604,311613,,2015,B2E-1,Residual oil/animal fat/vegetable oil,,,29.291,MMBtu/hr,
Valley Proteins,22604,311613,,2015,B3E-1,Residual oil/animal fat/vegetable oil,,,29.291,MMBtu/hr,
Valley Proteins,22604,311613,,2015,B4E-1,Residual oil/animal fat/vegetable oil,,,25,MMBtu/hr,
Valley Proteins,22604,311613,,2015,B5E-1,Residual oil/animal fat/vegetable oil,,,8.389,MMBtu/hr,
Valley Proteins,22604,311613,,2015,B6E-1,Residual oil/animal fat/vegetable oil,,,48.4,MMBtu/hr,
R. R. Donnelley & Sons Company,22802,323117,,2016,SB1,Naturla gas/Propane,,,2.2,MMBtu/hr,
R. R. Donnelley & Sons Company,22802,323117,,2016,SB2,Naturla gas/Propane,,,2.2,MMBtu/hr,
R. R. Donnelley & Sons Company,22802,323117,,2016,HWB1,Naturla gas/Propane,,,6.7,MMBtu/hr,
R. R. Donnelley & Sons Company,22802,323117,,2016,HWB2,Naturla gas/Propane,,,6.7,MMBtu/hr,
MillerCoors L.L.C.,22827,312120,,2016,S-1,Natural gas,,,18,MMBtu/hr,
MillerCoors L.L.C.,22827,312120,,2016,S-2,Natural gas,,,18,MMBtu/hr,
MillerCoors L.L.C.,22827,312120,,2016,S-3,Natural gas,,,18,MMBtu/hr,
MillerCoors L.L.C.,22827,312120,,2016,S-4,Natural gas,,,97,MMBtu/hr,
MillerCoors L.L.C.,22827,312120,,2016,S-5,Natural gas,,,97,MMBtu/hr,
Masco Cabinetry — Merillat Mt. Jackson Plant,22842,337110,,2014,,Wood,,,28.5,MMBtu/hr,
Masco Cabinetry — Merillat Mt. Jackson Plant,22842,337110,,2014,,Natural gas/DIstillate oil,,,14.7,MMBtu/hr,
Mid-Atlantic Foam,22603,326140,,2013,B-1,Natural gas,,,8.369,MMBtu/hr,
Green Bay Packaging Inc,22603,322222,,2014,Office heating boiler,,,,0.65,MMBtu/hr,
FM BROWNS SONS INC,19608,,2408,2016,,Natural gas,,,1,MMBtu/hr,
ARCELORMITTAL STEELTON LLC,17113,,3312,2017,,Natural gas/No.2 oil,,,99,MMBtu/hr,
ARCELORMITTAL STEELTON LLC,17113,,3312,2017,,Natural gas/No.2 oil,,,27.7,MMBtu/hr,
LORD CORP,16433,,2899,2016,,Natural gas,,,6.7,MMBtu/hr,
LORD CORP,16433,,2899,2016,,Natural gas,,,6.7,MMBtu/hr,
GLOBAL ADVANCED METALS USA INC,19512,,3339,2019,Boiler 1,Natural gas/No.2 oil,,,25.1,MMBtu/hr,
GLOBAL ADVANCED METALS USA INC,19512,,3339,,Boiler 2,Natural gas/No.2 oil,,,50.3,MMBtu/hr,
GLOBAL ADVANCED METALS USA INC,19512,,3339,,Boiler 3,Natural gas/No.2 oil,,,62.8,MMBtu/hr,
CARGILL INC,17325,,2048,2020,,No.2 fuel oil,,,8.37,MMBtu/hr,
BIGBEE STEEL & TANK CO,15563,,3443,2016,,Propane,,,0.399,MMBtu/hr,
BIGBEE STEEL & TANK CO,15563,,3443,2016,,Propane,,,0.399,MMBtu/hr,
SEALED AIR CORP US,19602,,2621,2017,Boiler 1,Natural gas,,,41,MMBtu/hr,
SEALED AIR CORP US,19602,,2621,2017,Boiler 3,Natural gas,,,29.9,MMBtu/hr,
ADM MILLING CO,17011,,2041,2017,,Natural gas,,,4.2,MMBtu/hr,
ADM MILLING CO,17011,,2041,2017,,Natural gas,,,4.2,MMBtu/hr,
MASCO CABINETRY LLC,18840,,2434,2018,Boiler 1,Natural gas/wood waste ,,,28.7,MMBtu/hr,
MASCO CABINETRY LLC,18840,,2434,2018,Boiler 2,Natural gas/wood waste ,,,28.7,MMBtu/hr,
CARLISLE CONST MATERIALS INC,15478,,3086,2017,,Natural gas,,,1.992,MMBtu/hr,
FRES CO SYS USA INC,18969,,2754,2019,Superior boiler 502,Natural gas,,,14.7,MMBtu/hr,
WENGER FEEDS LLC,17570,,2048,2018,,Natural gas/No.2 fuel oil,,,6.2,MMBtu/hr,
SUPERIOR HUNTINGDON COMPOSITES LLC,16652,,3229,2018,Boiler 1,Natural gas,,,18.5,MMBtu/hr,
SUPERIOR HUNTINGDON COMPOSITES LLC,16652,,3229,2018,Boiler 2,Naturla gas,,,18.5,MMBtu/hr,
HEUCOTECH LTD,19030,,2865,2020,,Natural gas,,,0.663,MMBtu/hr,
KNOUSE FOODS COOP INC,17375,,2033,2020,Boiler 2,Natural gas/No.2 fuel oil/No.5 fuel oil,,,23.9,MMBtu/hr,
KNOUSE FOODS COOP INC,17375,,2033,2020,Boiler 3,Natural gas/No.2 fuel oil/No.5 fuel oil,,,10.2,MMBtu/hr,
KNOUSE FOODS COOP INC,17375,,2033,2020,Boiler 6,Natural gas/No.2 fuel oil,,,31.2,MMBtu/hr,
Multicolor corp,17402,,2759,2018,,,,,3.3,MMBtu/hr,
Clearfield Leather Inc,16833,,3111,2017,Main plant boiler,Natural gas/No.2 fuel oil,,,16.7,MMBtu/hr,
Associated Rubber Inc,18951,,3061,2019,Blue boiler,Natural gas/No.2 fuel oil,,,3.3,MMBtu/hr,
Associated Rubber Inc,18951,,3061,2019,Green boiler,Natural gas/No.2 fuel oil,,,3.3,MMBtu/hr,
Bae Sys Land & Armaments LP,17405,,3795,2019,Boiler 6,Natural gas,,,10.1,MMBtu/hr,
Bae Sys Land & Armaments LP,17405,,3795,2019,Boiler 7,Natural gas,,,10,MMBtu/hr,
DANZER LUMBER NORTH AMER INC,17255,,2421,2018,Wood fired boiler,Wood,,,19.1,MMBtu/hr,
DANZER LUMBER NORTH AMER INC,17255,,2421,2018,No.2 oil fired boiler,No.2 fuel oil,,,16.8,MMBtu/hr,
FURMAN FOODS INC,17857,,2033,2019,Boiler 1,Natural gas/No.2 fuel oil,,,39.7,MMBtu/hr,
FURMAN FOODS INC,17857,,2033,2019,Boiler 2,Natural gas/No.2 fuel oil,,,69.4,MMBtu/hr,
FURMAN FOODS INC,17857,,2033,2019,Boiler 3,No.2 fuel oil,,,29.3,MMBtu/hr,
WORLD ENERGY HBG LLC,17011,,2075,2019,CLEAVER BROOKS CB-600-250 NG BOILER,Natural gas,,,10,MMBtu/hr,
WORLD ENERGY HBG LLC,17011,,2075,2019,COLUMBIA WL 180 NG BOILER,Natural gas,,,2.12,MMBtu/hr,
WORLD ENERGY HBG LLC,17011,,2075,2019,CLEAVER BROOKS CBLE-600-200 ST NG BOILER,Natural gas,,,25,MMBtu/hr,
"NORTHWEST HARDWOODS, INC",16354,,2421,2019,PRIMARY WOOD-FIRED BOILER,Wood,,,23.4,MMBtu/hr,
LEHIGH CEMENT CO LLC,19522,,3241,2015,Wash house boiler,Natural gas/No.2 fuel oil,,,2.7,MMBtu/hr,
BLENDHOUSE LLC,19606,,2034,2016,Boiler 1,Natural gas,,,6.277,MMBtu/hr,
BLENDHOUSE LLC,19606,,2034,2016,Boiler 2,Natural gas,,,8.165,MMBtu/hr,
NESTLE PURINA PETCARE CO,17050,,2047,2020,Boiler 2,Natural gas/Propane,,,29.4,MMBtu/hr,
NESTLE PURINA PETCARE CO,17050,,2047,2020,Miura boilers,Natural gas/Propane,,,23.64,MMBtu/hr,
IDEMIA AMERICA CORPORATION,19341,,2752,2015,Boiler 1,Natural gas,,,0.9,MMBtu/hr,
IDEMIA AMERICA CORPORATION,19341,,2752,2015,Boiler 2,Natural gas,,,0.9,MMBtu/hr,
JOHNSON & JOHNSON CONSUMER INC,19034,,2834,2019,JOHNSTON BOILER 1,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
JOHNSON & JOHNSON CONSUMER INC,19034,,2834,2019,JOHNSTON BOILER 2,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
JOHNSON & JOHNSON CONSUMER INC,19034,,2834,2019,JOHNSTON BOILER 3,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
JOHNSON & JOHNSON CONSUMER INC,19034,,2834,2019,JOHNSTON BOILER 4,Natural gas/No.2 fuel oil,,,24.2,MMBtu/hr,
NATURAL GAS SOLUTIONS NORTH AMER LLC,16701,,3494,2018,Basement boiler 1,n.a.,,,0.2625,MMBtu/hr,
NATURAL GAS SOLUTIONS NORTH AMER LLC,16701,,3494,2018,Basement boiler 2,n.a.,,,0.2625,MMBtu/hr,
NATURAL GAS SOLUTIONS NORTH AMER LLC,16701,,3494,2018,Penthouse boiler 1,n.a.,,,1.776,MMBtu/hr,
APEX TOOL GROUP LLC,17402,,3315,2019,Boiler 1,Natural gas,,,10.5,MMBtu/hr,
KELLOGG USA INC/EAST HEMPFIELD,17604,,2043,2019,Boiler 1,Natural gas/Biogas,,,66,MMBtu/hr,
KELLOGG USA INC/EAST HEMPFIELD,17604,,2043,2019,Boiler 2,Natural gas/Biogas,,,66,MMBtu/hr,
WENGER FEEDS LLC,17570,,2041,2019,Boiler 1,Natural gas/No.2 fuel oil,,,12.5,MMBtu/hr,
SANDVIK INC,18411,,3317,2018,Boiler 77,Natural gas,,,12.5,MMBtu/hr,
SANDVIK INC,18411,,3317,2018,Boiler 92,Natural gas,,,12.5,MMBtu/hr,
YELLOW SPRINGS HARDWOODS,16611,,2421,2015,Wood fired boiler,Wood,,,8.87,MMBtu/hr,
V & S LEBANON GALVANIZING LLC,17046,,3479,2018,Boiler,Natural gas,,,5.7,MMBtu/hr,
DONSCO INC,17368,,3321,2015,,Natural gas,,,0.092,MMBtu/hr,
MATERION BRUSH INC,19555,,3471,2019,Boiler 1,Natural gas,,,4.18,MMBtu/hr,
MATERION BRUSH INC,19555,,3471,2019,Boiler 2,Natural gas,,,8.37,MMBtu/hr,
BALLY BLOCK CO,19503,,2499,2018,Wood fired boiler,Wood,,,6.7,MMBtu/hr,
SPS TECH LLC,19046,,3452,2019,KEELER BOILER,Natural gas/No.2 fuel oil/No.5 fuel oil,,,48,MMBtu/hr,
SPS TECH LLC,19046,,3452,2019,CLEAVER BROOKS BOILER,Natural gas/No.2 fuel oil/No.4 fuel oil/No.5 fuel oil,,,27,MMBtu/hr,
WENGER FEEDS LLC,17570,,2048,2018,CLEAVER BROOKS BOILER 1 (1993),Natural gas/No.4 fuel oil,,,8.4,MMBtu/hr,
WENGER FEEDS LLC,17570,,2048,2018,CLEAVER BROOKS BOILER 2 (1976),Natural gas/No.4 fuel oil,,,6.275,MMBtu/hr,
WEST ROCK CP,19014,,2653,2017,BOILER PP01,Natural gas/No.2 fuel oil,,,20.9,MMBtu/hr,
WEST ROCK CP,19014,,2653,2017,BOILER PP02,Natural gas/No.2 fuel oil,,,20.9,MMBtu/hr,
CRAFT MAID KITCHEN INC,19602,,2434,2020,#S10-G-20,Natural gas,,,3.57,MMBtu/hr,
CORIXA CORP DBA GLAXOSMITHKLINE VACCINES,17547,,2836,2018,CLEAVER-BROOKS BOILER 1,Natural gas,,,28.8,MMBtu/hr,
CORIXA CORP DBA GLAXOSMITHKLINE VACCINES,17547,,2836,2018,CLEAVER-BROOKS BOILER 2,Natural gas/No.2 fuel oil,,,43.3,MMBtu/hr,
CORIXA CORP DBA GLAXOSMITHKLINE VACCINES,17547,,2836,2018,CLEAVER-BROOKS BOILER 3,Natural gas/No.2 fuel oil,,,43.3,MMBtu/hr,
MAGNESITA REFRACTORIES CO,17408,,3297,2015,EMP. CENTER BOILER,Natural gas,,,0.75,MMBtu/hr,
WILLIAMS METALFINISHING INC,19608,,3471,2014,,Natural gas,,,0.8,MMBtu/hr,
POLAR TECH IND INC,17824,,3086,2020,Kewanee scotch marine boiler,Natural gas,,,9.8,MMBtu/hr,
VALLEY ENTERPRISE CONTAINER LLC,16826,,3443,2015,Central Boiler model CL6048 furnace,Wood,,,0.5,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,PFTA1000-4 boiler,Natural gas/No.2 fuel oil,,,40.4,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,PFTX-600-4,Natural gas/No.2 fuel oil,,,24.5,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,AM#4066 boiler,Natural gas,,,3.025,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,Maxon model 500 boiler,Natural gas,,,3.5,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,Superior Highlander model 60-3 boiler,Natural gas,,,2.94,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,AA-35-95 boiler,Natural gas,,,2.43,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,AA-55-95 boiler,Natural gas,,,4.05,MMBtu/hr,
CARGILL MEAT SOLUTIONS CORP,18853,,2011,2019,PFTX-1000-200,Natural gas/Biogas/No.2 fuel oil,,,41.8,MMBtu/hr,
DWIGHT LEWIS LUMBER CO INC,18619,,2421,2018,AES BIOMASS BOILER,Biogas,,,6.04,MMBtu/hr,
DWIGHT LEWIS LUMBER CO INC,18619,,2421,2018,BOILER FUEL SILO,Wood,,,0.217588,MMBtu/hr,
PATTERSON LUMBER CO INC,16922,,2421,2017,WOOD-FIRED BOILER,Wood,,,10.5,MMBtu/hr,
PATTERSON LUMBER CO INC,16922,,2421,2017,NATURAL GAS-FIRED BOILER,Natural gas,,,9.6,MMBtu/hr,
CNH INDUSTRIAL AMERICA LLC,17557,,3523,2015,C-B BOILER 4125-1,Natural gas/Propane,,,5.103,MMBtu/hr,
CNH INDUSTRIAL AMERICA LLC,17557,,3523,2015,C-B BOILER 4125-2,Natural gas/Propane,,,5.103,MMBtu/hr,
US STEEL CORP,19030,,3479,2019,GAL3 STEAM BOILER,Natural gas,,,31.2,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,Boiler #1,Natural gas/No.2 fuel oil,,,4.184,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,Boiler #2,Natural gas/No.2 fuel oil,,,6.124,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,2-VES-004,Natural gas/No.2 fuel oil,,,5.064,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,1-VES-002,No.2 fuel oil,,,2.092,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,1-VES-006,No.2 fuel oil,,,5.021,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,2-VES-003,No.2 fuel oil,,,1.675,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,Burnham boiler,Natural gas,,,8.36,MMBtu/hr,
PENN COLOR INC,19440,,2851,2019,Fulton boiler,Natural gas,,,1.6,MMBtu/hr,
