FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
BLUE TRIANGLE HARDWOODS LLC,15537,,2421,2016,Wood fired boiler,Sawdust,,,17.2,MMBtu/hr,
BLUE TRIANGLE HARDWOODS LLC,15537,,2421,2016,Unit 4,No.2 fuel oil,,,11.7,MMBtu/hr,
NORTHWEST HARDWOODS INC,16354,,2426,2017,Wood fired boiler,Wood,,,13.8,MMBtu/hr,
NORTHWEST HARDWOODS INC,16354,,2426,2017,Natural gas fired boiler,Natural gas,,,1,MMBtu/hr,
TUSCAN LEHIGH DAIRIES INC,19446,,2026,2019,Boiler 1,Natural gas/No.2 fuel oil,,,12.6,MMBtu/hr,
TUSCAN LEHIGH DAIRIES INC,19446,,2026,2019,Boiler 2,Natural gas/No.2 fuel oil,,,12.6,MMBtu/hr,
FEDCHEM LLC,18020,,2869,2019,,No.2 fuel oil,,,5.2,MMBtu/hr,
FEDCHEM LLC,18020,,2869,2019,,No.2 fuel oil,,,5.2,MMBtu/hr,
ARCELORMITTAL PLATE LLC,19320,,3312,2019,Arc building boiler 1,Natural gas,,,6.3,MMBtu/hr,
ARCELORMITTAL PLATE LLC,19320,,3312,2019,Arc building boiler 2,Natural gas,,,6.3,MMBtu/hr,
ARCELORMITTAL PLATE LLC,19320,,3312,2019,Electric melt shop boiler,Natural gas,,,62.3,MMBtu/hr,
GENERAL CABLE INC,17701,,3357,2019,SPH-40-N,Natural gas,,,1.34,MMBtu/hr,
GENERAL CABLE INC,17701,,3357,2019,SPHV-40-N,Natural gas,,,1.34,MMBtu/hr,
ROHM & HAAS CO,19007,,2821,2018,Boiler 110,Natural gas/No.2 fuel oil,,,15,MMBtu/hr,
ROHM & HAAS CO,19007,,2821,2018,Boiler 400,Natural gas/No.2 fuel oil,,,33.5,MMBtu/hr,
ROHM & HAAS CO,19007,,2821,2018,Boiler 410,Natural gas/No.2 fuel oil,,,33.5,MMBtu/hr,
TUCKER IND LIQUID COATINGS INC,17316,,3479,2018,York Shipley,Natural gas,,,4.2,MMBtu/hr,
ERIEZ MFG CO,16506,,3535,2020,Boiler,Natural gas,,,1.703,MMBtu/hr,
LEDVANCE LLC,16901,,3229,2016,Superior boiler,Natural gas/propane,,,16.8,MMBtu/hr,
VERSATEK ENTERPRISES LLC,17543,,2541,2019,Burnham boiler,Natural gas,,,3.1,MMBtu/hr,
VERSATEK ENTERPRISES LLC,17543,,2541,2019,Weil-McLain boiler 1,Natural gas,,,2.7,MMBtu/hr,
VERSATEK ENTERPRISES LLC,17543,,2541,2019,Weil-McLain boiler 2,Natural gas,,,2.7,MMBtu/hr,
BORCHERS AMER INC,16232,,2869,2017,Kewanee boiler,Natural gas,,,37.7,MMBtu/hr,
BORCHERS AMER INC,16232,,2869,2017,Hurst boiler,Natural gas,,,37.6,MMBtu/hr,
MELLOTT WOOD PRESERVING CO INC,17238,,2491,2016,Columbia/Rettew wood-fired boiler,Sawdust/wood waste,,,6.3,MMBtu/hr,
MELLOTT WOOD PRESERVING CO INC,17238,,2491,2016,Keeler wood-fired boiler,Sawdust/wood waste,,,14.75,MMBtu/hr,
GLEN RAVEN CUSTOM FABRICS LLC,17801,,2221,2015,Cleaver brooks boiler,Natural gas/No.2 fuel oil,,,29.29,MMBtu/hr,
GLEN RAVEN CUSTOM FABRICS LLC,17801,,2221,2015,Hurst boiler,Natural gas/No.2 fuel oil,,,8.4,MMBtu/hr,
